Sample.name,Group,Sex
SH0001,con_nd_ndi+,F
SH0002,con_nd,M
SH0003,con_nd,F
SH0004,con_nd,F
SH0005,ko_nd_ndi+,M
SH0006,con_nd_ndi+,F
SH0007,con_nd_ndi+,F
SH0008,ko_nd_ndi+,F
SH0009,ko_nd,F
SH0010,ko_nd,F
SH0011,con_nd,F
SH0012,ko_nd,F
SH0013,ko_nd,M
SH0014,con_nd_ndi+,F
SH0015,ko_nd_ndi+,M
SH0016,ko_nd_ndi+,M
SH0017,ko_nd,M
SH0018,con_nd,F
SH0019,con_nd,F
SH0020,ko_nd,M
SH0021,con_nd,M
SH0022,ko_nd_ndi+,M
SH0023,ko_nd_ndi+,M
SH0024,ko_nd_ndi+,F
SH0025,ko_nd_ndi+,F
SH0026,ko_nd,F
SH0027,con_nd_ndi+,M
SH0028,con_nd,M
SH0029,con_nd_ndi+,M
SH0030,con_nd_ndi+,M
ISRIB_1,con_isrib,M
ISRIB_2,ko_isrib,M
ISRIB_3,con_isrib,F
ISRIB_4,ko_isrib,F
ISRIB_5,con_isrib,F
ISRIB_6,con_isrib,F
ISRIB_7,ko_isrib,F
ISRIB_8,ko_isrib+,F
ISRIB_9,ko_isrib+,M
ISRIB_10,ko_isrib+,F
ISRIB_11,con_isrib,F
ISRIB_12,con_isrib+,F
ISRIB_13,ko_isrib+,F
ISRIB_14,con_isrib,M
ISRIB_15,con_isrib+,F
ISRIB_16,ko_isrib,F
ISRIB_17,con_isrib+,M
ISRIB_18,con_isrib+,F
ISRIB_19,con_isrib+,F
ISRIB_20,con_isrib+,M
ISRIB_21,ko_isrib+,M
ISRIB_23,con_isrib+,M
ISRIB_24,con_isrib,M
ISRIB_26,con_isrib+,M
ISRIB_27,ko_isrib+,M
ISRIB_28,ko_isrib+,F
ISRIB_29,wt,M
ISRIB_30,wt,F
ISRIB_31,wt,F
ISRIB_32,wt,F
ISRIB_33,wt,M
ISRIB_34,ko_isrib+,M
ISRIB_35,wt,M
ISRIB_37,ko_isrib+,M
NMN_1,con_nmn+,F
NMN_3,con_nmn+,M
NMN_4,con_nmn+,M
NMN_5,con_nmn+,F
NMN_6,ko_nmn+,F
NMN_7,con_nmn,F
NMN_8,con_nmn,F
NMN_9,ko_nmn+,F
NMN_10,con_nmn+,F
NMN_14,ko_nmn+,F
NMN_15,ko_nmn+,F
NMN_16,con_nmn+,M
NMN_17,con_nmn,F
NMN_18,con_nmn+,F
NMN_20,con_nmn,M
NMN_21,ko_nmn+,F
NMN_22,ko_nmn+,M
NMN_23,ko_nmn+,F
NMN_24,con_nmn,M
NMN_25,con_nmn+,F
NMN_26,ko_nmn,F
NMN_27,con_nmn+,F
NMN_28,con_nmn+,M
NMN_29,ko_nmn+,F
NMN_30,con_nmn+,M
NMN_31,con_nmn,M
NMN_32,ko_nmn+,M
NMN_34,ko_nmn,M
NMN_35,ko_nmn+,M
NMN_37,ko_nmn+,F
