GeneID	P6_1	P6_2	P6_3	P6_4	P6_5	P6_6	P6_7	P6_8	P6_9	P6_10	P6_11	P6_12	
ENSMUSG00000000001	1088	1184	1338	1295	1084	1244	1088	1514	1435	1247	1303	1127
ENSMUSG00000000003	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000028	153	182	138	121	63	116	116	276	121	146	135	78
ENSMUSG00000000031	418	328	649	250	264	410	657	2294	553	391	790	694
ENSMUSG00000000037	16	26	18	10	17	16	19	13	11	19	25	12
ENSMUSG00000000049	4	0	1	0	0	0	0	0	3	1	0	0
ENSMUSG00000000056	205	196	288	240	247	271	337	352	205	230	253	231
ENSMUSG00000000058	580	571	568	700	567	749	822	558	644	595	647	1001
ENSMUSG00000000078	1083	1126	1221	1331	1263	1622	1366	871	1207	1056	1276	1595
ENSMUSG00000000085	416	379	338	403	372	336	368	441	336	341	314	363
ENSMUSG00000000088	372	367	589	524	304	562	324	488	533	528	624	329
ENSMUSG00000000093	231	132	300	109	192	97	677	103	207	175	390	176
ENSMUSG00000000094	71	45	64	22	46	25	238	22	79	58	112	44
ENSMUSG00000000103	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000120	11	9	10	10	17	11	15	12	22	20	21	14
ENSMUSG00000000125	2	4	8	2	6	2	0	9	3	3	2	8
ENSMUSG00000000126	29	39	38	37	40	39	50	30	32	36	45	76
ENSMUSG00000000127	137	123	89	133	107	118	142	105	139	130	118	134
ENSMUSG00000000131	930	984	990	934	931	1028	814	1202	976	838	756	1003
ENSMUSG00000000134	463	454	520	461	427	611	386	330	520	434	370	423
ENSMUSG00000000142	444	333	234	301	277	225	394	235	311	209	247	320
ENSMUSG00000000148	218	190	268	184	257	258	211	231	225	233	195	243
ENSMUSG00000000149	739	861	1229	1136	840	1148	838	724	1200	1002	1192	973
ENSMUSG00000000154	63	78	84	91	95	64	56	56	78	80	96	105
ENSMUSG00000000157	46	31	40	48	49	53	22	38	38	31	12	57
ENSMUSG00000000159	173	122	119	138	128	156	141	131	160	115	155	155
ENSMUSG00000000167	79	86	86	91	108	81	56	96	69	71	47	211
ENSMUSG00000000168	515	468	628	601	449	589	457	516	568	580	606	447
ENSMUSG00000000171	642	692	747	828	669	798	856	839	774	681	820	720
ENSMUSG00000000182	0	0	2	0	0	0	0	0	0	2	0	2
ENSMUSG00000000183	0	0	0	1	0	0	0	1	0	0	0	1
ENSMUSG00000000184	1489	1757	1874	2177	1838	1910	1480	2533	1800	2077	1864	2724
ENSMUSG00000000194	641	618	655	669	652	697	574	611	665	620	583	656
ENSMUSG00000000197	2	0	0	0	1	0	0	3	0	0	0	7
ENSMUSG00000000202	2	9	9	6	7	15	4	12	8	7	11	8
ENSMUSG00000000204	16	12	148	66	75	808	47	26	47	41	13	97
ENSMUSG00000000214	0	0	0	1	0	0	2	0	0	0	0	0
ENSMUSG00000000215	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000216	543	653	729	883	755	790	658	591	622	438	551	1091
ENSMUSG00000000223	16	2	7	11	12	3	4	21	3	4	3	13
ENSMUSG00000000244	63	91	133	82	82	137	56	65	111	135	144	120
ENSMUSG00000000247	0	0	2	0	0	7	0	3	2	1	2	0
ENSMUSG00000000248	0	0	5	0	2	3	0	2	1	0	2	0
ENSMUSG00000000253	161	216	308	198	201	197	213	225	291	235	331	217
ENSMUSG00000000263	0	0	0	0	0	0	0	0	0	0	0	1
ENSMUSG00000000266	222	203	153	160	197	163	343	141	197	144	170	254
ENSMUSG00000000275	1092	970	1045	847	1241	1371	1058	1025	977	1037	897	1097
ENSMUSG00000000276	202	191	172	177	179	174	154	697	188	184	160	165
ENSMUSG00000000278	796	742	946	993	739	1199	875	450	1099	987	1018	560
ENSMUSG00000000282	528	553	719	659	551	567	467	508	601	542	480	523
ENSMUSG00000000290	1408	1996	3384	1946	3438	5744	1435	1273	3463	3629	2557	2044
ENSMUSG00000000295	77	91	85	96	45	73	94	112	82	81	75	75
ENSMUSG00000000296	16	22	37	22	16	16	31	14	25	17	24	22
ENSMUSG00000000301	16	17	30	26	13	21	10	17	19	17	25	16
ENSMUSG00000000303	8781	9233	7670	9216	6786	7393	7295	6408	8464	7103	7123	9104
ENSMUSG00000000305	46	48	25	44	26	28	66	137	42	21	31	38
ENSMUSG00000000308	134	160	503	568	222	504	150	200	460	532	440	269
ENSMUSG00000000317	35	17	11	5	21	10	147	8	14	43	79	11
ENSMUSG00000000318	12	21	28	9	23	21	20	7	10	13	31	20
ENSMUSG00000000320	55	65	115	59	81	106	109	21	121	100	84	34
ENSMUSG00000000326	610	729	591	592	630	560	696	533	542	545	585	662
ENSMUSG00000000339	169	195	240	228	182	218	189	293	248	173	210	231
ENSMUSG00000000340	242	254	304	287	255	298	289	303	371	298	313	275
ENSMUSG00000000346	1722	1706	1950	1818	1932	1951	1755	1641	1872	1815	1835	1864
ENSMUSG00000000355	132	122	165	129	118	135	149	195	112	137	113	134
ENSMUSG00000000359	8	10	21	5	11	18	27	3	14	8	21	11
ENSMUSG00000000365	0	3	8	4	2	6	2	5	1	7	5	0
ENSMUSG00000000374	948	895	881	1094	831	990	655	980	1102	1001	960	1092
ENSMUSG00000000378	327	329	406	386	381	419	280	355	402	338	382	319
ENSMUSG00000000381	0	0	0	0	1	0	0	0	0	0	0	0
ENSMUSG00000000384	253	225	374	298	211	368	215	428	277	323	314	265
ENSMUSG00000000385	984	1203	1060	1466	1038	1173	922	861	1146	1006	864	1746
ENSMUSG00000000386	22	13	24	28	58	117	17	20	22	31	30	16
ENSMUSG00000000392	2	1	7	7	2	10	7	5	2	4	4	9
ENSMUSG00000000394	0	0	0	0	0	0	0	0	0	0	0	3
ENSMUSG00000000399	433	479	538	595	401	564	544	580	528	525	696	395
ENSMUSG00000000402	6139	5668	4040	4385	3480	2592	5738	3278	4321	3809	3974	2399
ENSMUSG00000000409	109	132	314	229	147	203	58	3137	147	171	142	434
ENSMUSG00000000411	1	1	1	0	0	3	1	1	3	0	5	0
ENSMUSG00000000416	71	56	48	25	41	18	102	27	23	37	40	37
ENSMUSG00000000420	795	813	860	929	675	971	720	1018	870	881	844	775
ENSMUSG00000000435	0	0	0	1	0	2	0	0	0	0	2	1
ENSMUSG00000000439	746	766	885	915	825	981	785	935	887	719	843	902
ENSMUSG00000000440	135	189	299	164	251	280	118	81	299	310	248	135
ENSMUSG00000000441	1197	1290	1374	1272	1239	1564	1174	1402	1405	1138	1196	1370
ENSMUSG00000000486	119	171	288	227	217	219	108	1320	144	244	166	388
ENSMUSG00000000489	311	394	430	512	375	574	693	290	406	408	550	586
ENSMUSG00000000530	307	176	324	111	267	309	899	120	325	366	628	232
ENSMUSG00000000531	296	263	280	320	182	245	305	181	308	265	345	239
ENSMUSG00000000532	870	918	972	948	1121	949	830	769	955	948	920	1195
ENSMUSG00000000538	605	565	572	522	561	470	573	487	492	478	501	728
ENSMUSG00000000544	0	0	8	1	5	3	3	11	2	1	1	5
ENSMUSG00000000552	211	327	335	209	290	348	223	260	291	269	255	201
ENSMUSG00000000555	257	236	523	251	406	863	410	308	474	479	422	275
ENSMUSG00000000560	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000561	213	223	232	260	198	239	192	329	275	168	251	229
ENSMUSG00000000562	22	11	30	15	20	25	12	4	23	20	16	9
ENSMUSG00000000563	1133	1108	1366	1234	877	1402	1272	1385	1271	1256	1460	1010
ENSMUSG00000000567	414	423	513	432	150	285	467	207	535	450	470	83
