GeneID	SH001	SH004	SH005	SH006	SH007	SH008	SH009	SH010	SH011	SH012	SH013	SH015	SH016
ENSMUSG00000000001	3153	3691	1337	2725	2378	2510	2719	1702	1574	1501	3272	2285	2176
ENSMUSG00000000003	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000028	150	199	39	56	45	86	96	93	43	162	103	42	66
ENSMUSG00000000031	0	0	0	0	0	0	9	0	0	0	0	1	0
ENSMUSG00000000037	0	12	0	19	0	0	0	0	0	0	0	0	0
ENSMUSG00000000049	0	0	0	0	0	0	0	0	0	13	6	0	1
ENSMUSG00000000056	344	314	143	130	370	367	227	70	153	183	84	552	440
ENSMUSG00000000058	2215	1919	1006	2028	1886	1988	1556	1360	1210	1351	2370	1655	1516
ENSMUSG00000000078	1473	2989	429	1455	1192	1371	1599	1098	1135	795	813	1315	1559
ENSMUSG00000000085	186	650	76	141	300	332	223	79	84	79	98	329	304
ENSMUSG00000000088	1389	1711	904	1401	1688	1975	1483	1009	1014	1477	1653	1527	1552
ENSMUSG00000000093	19	0	0	0	1	1	8	0	19	0	0	3	6
ENSMUSG00000000094	0	0	0	0	2	3	4	0	6	0	0	1	0
ENSMUSG00000000103	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000120	0	0	0	0	1	0	23	0	0	0	0	2	1
ENSMUSG00000000125	0	23	0	0	1	2	7	8	0	0	0	1	1
ENSMUSG00000000126	15	17	13	19	30	22	11	18	12	23	0	16	22
ENSMUSG00000000127	25	156	53	77	56	79	68	69	67	0	31	63	75
ENSMUSG00000000131	258	926	264	339	508	500	501	229	352	108	89	444	532
ENSMUSG00000000134	68	466	105	90	293	317	209	76	75	120	17	343	296
ENSMUSG00000000142	0	67	28	0	30	35	28	32	24	43	0	54	30
ENSMUSG00000000148	121	307	96	211	202	188	161	107	150	119	56	189	180
ENSMUSG00000000149	234	1272	335	299	651	678	325	279	292	240	54	759	778
ENSMUSG00000000154	156	635	74	482	166	144	318	264	266	65	305	128	152
ENSMUSG00000000157	0	0	16	0	1	1	0	0	0	0	0	1	4
ENSMUSG00000000159	252	515	314	523	403	407	397	434	307	198	276	348	312
ENSMUSG00000000167	28	257	19	192	59	67	201	84	73	91	134	72	85
ENSMUSG00000000168	593	1349	372	624	920	1035	576	443	451	372	327	1032	863
ENSMUSG00000000171	23	3334	83	3280	92	73	2760	2000	1661	58	4912	42	312
ENSMUSG00000000182	0	0	0	0	0	0	8	0	0	0	0	1	0
ENSMUSG00000000183	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000184	226	1370	122	331	305	347	593	386	263	135	145	320	572
ENSMUSG00000000194	551	1094	298	716	724	654	567	451	545	272	330	656	579
ENSMUSG00000000197	0	0	0	0	0	7	0	14	0	0	0	0	3
ENSMUSG00000000202	0	0	0	0	2	1	0	0	0	0	0	0	5
ENSMUSG00000000204	0	0	0	0	0	0	4	0	0	0	0	0	1
ENSMUSG00000000214	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000215	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000216	145	655	178	196	232	264	292	228	239	134	37	294	258
